####################################################################################
###Vanilla Names####################################################################
####################################################################################
#Anglia
233 = "Cornubia"						#Cornwall
4315 = "Eudoxia"						#Tokat/Evdoksia/Evdokia
4316 = "Bubastis"						#Bubastis
4317 = "Hermopolis"						#Pitiminhor
4318 = "Aphroditopolis"					#Tpeh
4319 = "Latopolis"						#Isna/Lato
4320 = "Thinis"							#Girga
4323 = "Oasis Minor"					#Farafra/Farafreh/Tat Taehowt
4329 = "Persepolis"						#Pasa/Pars/Persépolis
4365 = "Monapia"						#Mann/Mannia/Monaoeda
4366 = "Mons Gomerici"					#Montgomery
4367 = "Hullum"							#Hull
4369 = "Moridunum"						#Carmarthen/Moridunum Demetarum/ Maridunum
4368 = "Scarburgum"						#Scarborough
4370 = "Bedfordia"						#Bedfordshire
4371 = "Australes Saxones"				#Sussex/Sussexia
4372 = "Coventria"						#Coventry
4373 = "Devonia"						#Devon/Devoniensis comitatus
4374 = "Dorcestria"						#Dorset/Dorsetia/Durnovaria/Durotrigum
4375 = "Cestria"						#Chester
4376 = "Leicestria"						#Leicester
4380 = "Dungalia"						#Donegal
4383 = "Haga"							#Den Haag/The Hague
4384 = "Redonum"						#Rennes/Condate Redonum
4385 = "Costantiensis"					#Contentin/Constantia/Pagus Constantinus Costantiensis
4386 = "Pictavensis Inferior"			#Bas-Poitou
4387 = "Engolisma"						#Angoumois/Angoulême
4388 = "Autricum"						#Chartres
4389 = "Caesarodunum"					#Touraine/Turonum/Augusta Turonum
4390 = "Tricassium"						#Troyes/Augustobona Tricassium/Tricassae/Trecae
4391 = "Vivarium"						#Vivarais/Alba
4392 = "Autissiodorum"					#Auxerrois/Autessiodurum
4529 = "Iassium"						#Iasi
4531 = "Giurgiu"						#Giurgiu
4532 = "Severin"						#Severin
4546 = "Malaca"							#Málaga
4547 = "Libisosa"						#Libisosa/Albacete
4548 = "Onoba"							#Counei/Huelva
4549 = "Saetabis"						#Xàtiva
4550 = "Ilercavonia"					#Ilercavonia/Castalia - Castelló
4551 = "Abula"							#Ávila
4552 = "Pallantia"						#Palencia
4553 = "Ocellodurum"					#Zamora/Ocellum Duri
4554 = "Lucus Augusti"					#Lugo
4555 = "Pontis Veteris"					#Pontevedra
4556 = "Aviarium"						#Aveiro/Averius
4558 = "Auriense"						#Orense/Aquae Urentes
4559 = "Minorica"						#Minorca
4561 = "Tamuda"							#Tétouan
4562 = "Agadir"							#Agadir
4563 = "Sala"							#Sala/Sala Colonia
4565 = "Insulae Nivaria"				#Tenerife/Insula Nivaria
4560 = "Ebusus"							#Ibiza
4694 = "Fuxium"							#Foix
4695 = "Carcaso"						#Carcassonne/Carcassona
4696 = "Telo Martius"					#Toulon
4697 = "Marca"							#La Marche
4698 = "Cephallenia"					#Cephalonia
4699 = "Aetolia"						#Aetolia
4700 = "Lesbos"							#Lesbos
4703 = "Pautalia"						#Köstendil/Velebusdus
4704 = "Vazaria"						#Wazaria/Ternobum
4705 = "Comotena"						#Komotini/Koumoutzina
4706 = "Aegyssus"						#Boltoprak
4708 = "Frisinga"						#Freising
4709 = "Batavia"						#Passau
4710 = "Brigantium"						#Bregenz/Brigantia
4712 = "Constantia"						#Konstanz
4716 = "Coburgum"						#Coburg
4719 = "Bressia"						#Bresse
4720 = "Genava"							#Geneva
4721 = "Friburgum"						#Fribourg - Friburgum Nuithonum
4722 = "Iliande"						#Illanz
4731 = "Spoletium"						#Spoleto Spoletum
4735 = "Arborea"						#Arborea
4741 = "Salinae Saxonicae"				#Halle/Salinae Saxonicae
4743 = "Vimaria"						#Weimar
4746 = "Stargardia"						#Stargard
4750 = "Croia"							#Krujë
4751 = "Celeia"							#Cilli/Civitas Celeia
4754 = "Catharum"						#Kotor/Cattaro/Ascruvium/Ascrivium
4756 = "Medimorium"						#Bjelovar/Medioflumina/Savania Media/Insulae Savaniae
4557 = "Bilbilis"						#Bílbila/Augusta Bilbilis/Calatayud
4758 = "Athesis Vallis"					#Etschtal
4759 = "Carinthia Superior"				#Oberkärnten
4760 = "Bavariae Aeni"					#Innbaiern
4761 = "Styra"							#Steyr - Stira/Styrense castrum
4762 = "Vindobonae Silvae"				#Wienerwald
4764 = "Salins"							#Salins
4765 = "Mulhusia"						#Mulhouse/Mulhusium Alsatiae
4766 = "Virodunum"						#Verdun/Verodunum
4768 = "Iuliacum"						#Jülich
4769 = "Insulae"						#Lille - Insula
4776 = "Blesae"							#Blois/Blesum
4777 = "Segusiavorum"					#Forez /Forum Segusiavorum
4787 = "Ripatagus"						#Ribatejo
4780 = "Lychnidus"						#Lychnidos/Ohrid
4785 = "Sefelda"						#Sheffield/Sheffieldium
4788 = "Plasentia"						#Plasencia
4789 = "Segovia"						#Segovia/Segobia

####################################################################################
###Extended Timeline################################################################
####################################################################################
51 = "Rupina"						#Ruppin
252 = "Montana"						#Inverness
2322 = "Pachoras"					#Uronarti
2423 = "Alatyria"					#Alatyr
