########################################################################################
#Vanilla Greek Names####################################################################
########################################################################################
104 = "Miláno"                      #Milan
# Coptic Influenced Names FoI###########################################################
########################################################################################
2316 = "Tantatho"                   #Tanatho / Thánatos / Tanta

########################################################################################
#Colonial Names#########################################################################
########################################################################################
487 = "Zamáika"                     #Jamacia
492 = "Sikelía"                     #Proto Rico / Sicily
956 = "Philadélpheia"               #Philadelphia / Lenape
960 = "Néa Syrakoúsai"              #Syracuse
967 = "Néa Rhódos"                  #Rhode Island
2803 = "Orthynókos"                 #Orinoco

########################################################################################
#Pheonix of the East Names##############################################################
########################################################################################
756 = "Néa Ioannina"                #Glorious
868 = "Papiapolis"                  #Quack
930 = "Néa Athína"                  #Historically / Nea Athenai
936 = "Tzeremopolis"                #Thrawn!
949 = "Erikopolis"                  #Hick
953 = "Nea Konstantinoupolis"       #NHS
4626 = "Kapaki"                     #Croc hell

########################################################################################
#Extended Timeline######################################################################
########################################################################################
15 = "Dytikí Gioutlándi"					#Vestjylland			|			15.06.18
186 = "Reímoi"								#Reims / Rens			|			15.06.18
255 = "Kalisía"								#Kalisz / Kális
667 = "Kantona"								#Guangzhou
1984 = "Vóreia Gioutlándi"					#Nordjylland			|			15.06.18
4449 = "Zamoú" 								#Jammu  				|			06.12.18
4815 = "Singapoúri"							#Singapore
