########################################################################################
#FoI Betacised Names####################################################################
########################################################################################
44 = "Amvoúrgo"						#Hamburg / Amboúrgo
2316 = "Tantatho"                   #Tanatho / Thánatos / Tanta
4323 = "Tat Taehowt"                #Farafra / Farafreh        #alt coptic names Ta Ihut

########################################################################################
#Extended Timeline######################################################################
########################################################################################
15 = "Dytikí Gioutlándi"					#Vestjylland			|			15.06.18
186 = "Reímoi"								#Reims / Rens			|			15.06.18
255 = "Kalisía"								#Kalisz / Kális
667 = "Kantona"								#Guangzhou
1984 = "Vóreia Gioutlándi"					#Nordjylland			|			15.06.18
4449 = "Zamoú" 								#Jammu  				|			06.12.18
4815 = "Singapoúri"							#Singapore
